,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
280,alofi,-19.06,-169.92,62.49,94,13,2.3,NU,1658856628
281,port lavaca,28.62,-96.63,95.29,60,40,6.91,US,1658856612
282,uthal,25.81,66.62,81.84,86,100,5.91,PK,1658856628
283,mahibadhoo,3.78,72.97,82.35,78,20,17.76,MV,1658856628
284,busko-zdroj,50.47,20.72,66.09,93,100,6.33,PL,1658856629
285,oktyabrskiy,54.48,53.47,66.16,88,57,3.89,RU,1658856629
286,narsaq,60.92,-46.05,57.42,81,93,4.99,GL,1658856630
287,sambava,-14.27,50.17,70.45,80,26,10.92,MG,1658856630
288,dwarka,22.24,68.97,82.35,81,100,15.46,IN,1658856630
289,lufilufi,-13.87,-171.6,74.98,80,58,20.62,WS,1658856631
290,cao bang,22.67,106.25,75.16,93,30,2.35,VN,1658856631
291,baghdad,33.34,44.4,94.91,18,0,5.75,IQ,1658856367
292,khorixas,-20.37,14.97,65.89,29,4,9.86,NA,1658856632
293,yumen,40.28,97.2,76.06,17,31,11.43,CN,1658856632
294,tiksi,71.69,128.87,49.73,89,64,2.26,RU,1658856335
295,peringat,6.03,102.28,76.98,94,20,0.0,MY,1658856633
296,itarantim,-15.66,-40.07,79.3,42,67,7.92,BR,1658856633
297,mount gambier,-37.83,140.77,50.43,93,37,8.37,AU,1658856364
298,maloy,61.94,5.11,51.53,82,100,21.07,NO,1658856634
299,taoudenni,22.68,-3.98,112.14,7,4,16.33,ML,1658856634
300,hudson bay,52.85,-102.38,65.64,63,37,12.06,CA,1658856634
301,aljezur,37.32,-8.8,71.71,73,3,16.73,PT,1658856635
302,lac du bonnet,50.25,-96.06,70.9,58,78,10.54,CA,1658856635
303,bambous virieux,-20.34,57.76,70.21,94,75,6.91,MU,1658856636
304,gondanglegi,-7.75,112.01,72.61,85,62,7.49,ID,1658856636
305,punta alta,-38.88,-62.07,53.91,91,99,10.16,AR,1658856636
306,springbok,-29.66,17.89,45.77,80,0,3.02,ZA,1658856637
307,moss vale,-34.55,150.38,44.15,82,15,10.87,AU,1658856637
308,fontem,5.47,9.88,66.67,97,96,0.78,CM,1658856638
309,erzin,36.96,36.2,77.4,66,0,3.91,TR,1658856638
310,yeniseysk,58.45,92.17,56.01,86,100,4.54,RU,1658856639
311,whitehorse,60.72,-135.05,66.97,55,75,18.41,CA,1658856639
312,nanortalik,60.14,-45.24,45.86,87,87,4.54,GL,1658856640
313,college,64.86,-147.8,53.55,64,75,13.8,US,1658856641
314,chapais,49.78,-74.85,60.58,92,100,9.66,CA,1658856641
315,chagoda,59.16,35.33,68.85,73,93,3.27,RU,1658856641
316,pontianak,-0.03,109.33,75.18,100,100,5.75,ID,1658856598
317,leh,34.17,77.58,64.83,60,90,3.96,IN,1658856643
318,dhidhdhoo,6.88,73.1,81.66,79,42,16.13,MV,1658856643
319,ilulissat,69.22,-51.1,48.22,87,75,3.44,GL,1658856643
320,methoni,36.82,21.7,84.06,70,0,6.04,GR,1658856644
321,sioux lookout,50.1,-91.92,60.87,100,75,6.91,CA,1658856400
322,cepu,-7.15,111.59,72.59,84,48,2.89,ID,1658856644
323,kodiak,57.79,-152.41,53.11,58,0,8.05,US,1658856433
324,bima,-8.47,118.72,71.15,92,32,4.54,ID,1658856645
325,huinan,42.62,126.26,67.73,90,10,3.8,CN,1658856645
326,inirida,3.87,-67.92,81.21,76,94,3.24,CO,1658856646
327,golubitskaya,45.32,37.28,72.01,71,34,5.32,RU,1658856646
328,khudumelapye,-23.88,24.75,64.08,34,6,5.5,BW,1658856647
329,san patricio,28.02,-97.52,94.06,44,53,16.44,US,1658856647
330,isangel,-19.55,169.27,73.22,88,87,13.85,VU,1658856647
331,ixtapa,20.7,-105.2,86.23,74,100,5.01,MX,1658856394
332,saint-augustin,51.23,-58.65,71.94,56,75,20.0,CA,1658856648
333,chokurdakh,70.63,147.92,43.45,69,100,10.49,RU,1658856649
334,ler,8.3,30.14,73.47,95,99,0.98,SS,1658856649
335,edd,13.93,41.69,90.79,67,91,6.87,ER,1658856650
336,tikhvin,59.65,33.53,71.22,70,96,3.83,RU,1658856650
337,kirakira,-10.45,161.92,78.71,84,84,6.24,SB,1658856650
338,tulum,20.22,-87.47,89.46,55,80,7.52,MX,1658856607
339,namtsy,62.72,129.67,61.84,70,14,2.82,RU,1658856651
340,dubbo,-32.25,148.62,39.33,87,40,6.91,AU,1658856652
341,bahia blanca,-38.72,-62.27,56.73,86,96,8.86,AR,1658856652
342,marzuq,14.4,46.47,85.75,41,89,6.4,YE,1658856652
343,hokitika,-42.72,170.97,46.56,80,67,5.26,NZ,1658856653
344,codrington,-38.27,141.97,51.87,91,69,12.62,AU,1658856372
345,sao jose da coroa grande,-8.9,-35.15,76.95,79,84,12.28,BR,1658856653
346,antofagasta,-23.65,-70.4,58.28,72,15,8.9,CL,1658856654
347,katsuura,35.13,140.3,79.03,92,90,14.07,JP,1658856654
348,binabalian,16.42,119.93,83.21,76,98,5.12,PH,1658856655
349,tullahoma,35.36,-86.21,89.22,70,86,9.15,US,1658856655
350,lompoc,34.64,-120.46,66.85,85,100,3.0,US,1658856656
351,santiago del estero,-27.8,-64.26,87.21,38,47,10.16,AR,1658856657
352,singaraja,-8.11,115.09,76.89,80,57,4.41,ID,1658856658
353,lebu,-37.62,-73.65,54.3,78,10,18.23,CL,1658856658
354,kitgum,3.28,32.89,70.7,72,78,5.03,UG,1658856659
355,ganzhou,28.82,115.43,84.24,62,94,2.86,CN,1658856659
356,dikson,73.51,80.55,49.71,70,85,23.82,RU,1658856659
357,severo-kurilsk,50.68,156.12,51.33,88,100,6.8,RU,1658856660
358,havoysund,71.0,24.66,59.23,88,87,7.11,NO,1658856660
359,mocuba,-16.84,36.99,62.83,89,87,2.95,MZ,1658856661
360,spornoye,50.84,37.29,66.04,83,82,4.99,RU,1658856661
361,pisco,-13.7,-76.22,64.45,77,100,8.05,PE,1658856662
362,bangsund,64.4,11.39,55.31,88,75,8.05,NO,1658856662
363,nome,64.5,-165.41,42.87,81,100,21.85,US,1658856662
364,grand forks,47.94,-97.43,71.78,64,40,11.5,US,1658856650
365,seoul,37.57,126.98,80.2,86,75,3.44,KR,1658856663
366,esterhazy,50.65,-102.08,68.85,55,30,14.41,CA,1658856663
367,brookhaven,31.58,-90.44,89.24,51,89,7.2,US,1658856618
368,cornwall,45.02,-74.73,76.24,56,20,9.22,CA,1658856664
369,deputatskiy,69.3,139.9,48.43,73,81,2.33,RU,1658856664
370,green river,41.53,-109.47,84.97,27,13,1.99,US,1658856665
371,atambua,-9.11,124.89,66.6,87,74,6.04,ID,1658856437
372,okha,53.57,142.95,54.64,95,100,5.12,RU,1658856665
373,bardiyah,31.76,25.09,80.85,66,0,16.53,LY,1658856666
374,eten,-6.91,-79.86,70.05,64,40,11.5,PE,1658856666
375,rundu,-17.93,19.77,67.21,26,43,6.78,NA,1658856667
376,pokhvistnevo,53.65,52.13,68.65,79,86,6.13,RU,1658856667
377,zaton,53.29,83.81,69.39,52,0,6.71,RU,1658856668
378,xining,36.62,101.77,57.45,84,61,5.99,CN,1658856668
379,pochutla,15.74,-96.47,88.83,57,77,7.14,MX,1658856668
380,ulladulla,-35.35,150.47,45.97,77,7,8.61,AU,1658856669
381,sydney,-33.87,151.21,49.62,71,0,12.66,AU,1658856536
382,wainwright,52.84,-110.86,66.67,57,69,8.59,CA,1658856654
383,la fria,8.22,-72.24,82.51,54,75,6.33,VE,1658856669
384,ceyhan,37.02,35.82,89.94,63,0,5.82,TR,1658856670
385,shangqiu,34.45,115.65,77.31,83,3,1.83,CN,1658856670
386,oxapampa,-10.58,-75.4,66.65,84,100,3.29,PE,1658856671
387,havelock,34.88,-76.9,91.98,78,40,13.8,US,1658856671
388,korla,41.76,86.15,86.63,18,6,3.24,CN,1658856672
389,ajdabiya,30.76,20.23,81.28,62,0,16.35,LY,1658856672
390,biograd na moru,43.94,15.45,93.9,70,20,18.12,HR,1658856672
391,igdir,39.92,44.04,85.19,32,20,5.75,TR,1658856673
392,port blair,11.67,92.75,80.64,83,40,3.44,IN,1658856673
393,imbituba,-28.24,-48.67,74.86,85,0,13.0,BR,1658856674
394,evensk,61.95,159.23,49.5,93,75,2.8,RU,1658856674
395,marystown,47.17,-55.15,69.85,100,100,8.01,CA,1658856674
396,zyryanka,65.75,150.85,50.09,52,87,13.87,RU,1658856675
397,russell,32.35,-85.2,90.37,62,40,4.61,US,1658856675
398,abu samrah,35.3,37.18,85.17,30,0,11.48,SY,1658856675
399,zhangjiakou,40.81,114.88,69.19,85,42,4.47,CN,1658856676
400,piranhas,-16.43,-51.82,93.94,19,0,4.07,BR,1658856676
401,krasnoselkup,65.7,82.47,54.19,69,0,9.73,RU,1658856677
402,hualmay,-11.1,-77.61,66.0,72,90,11.65,PE,1658856401
403,tianpeng,30.99,103.94,86.47,86,2,4.45,CN,1658856677
404,boca do acre,-8.75,-67.4,97.54,23,6,3.98,BR,1658856678
405,broken hill,-31.95,141.43,42.85,83,0,7.14,AU,1658856678
406,woodinville,47.75,-122.16,86.11,61,0,5.75,US,1658856610
407,kimparana,12.83,-4.92,92.86,43,71,7.27,ML,1658856679
408,margate,51.38,1.39,64.9,65,100,3.0,GB,1658856679
409,big rapids,43.7,-85.48,77.09,52,75,8.05,US,1658856680
410,batemans bay,-35.72,150.18,51.1,75,10,7.31,AU,1658856617
411,kenai,60.55,-151.26,55.15,73,0,20.71,US,1658856680
412,novyy urengoy,66.08,76.63,57.76,64,95,6.33,RU,1658856681
413,samana,19.21,-69.34,88.02,74,40,6.91,DO,1658856681
414,vitim,59.45,112.56,66.47,74,64,8.79,RU,1658856681
415,tucuman,-26.82,-65.22,78.8,57,6,3.44,AR,1658856682
416,outlook,51.5,-107.05,73.45,37,75,11.61,CA,1658856649
417,touros,-5.2,-35.46,81.14,64,64,17.22,BR,1658856682
418,beyneu,45.32,55.2,81.66,33,0,11.79,KZ,1658856683
419,hays,30.05,-98.03,97.27,44,12,4.0,US,1658856683
420,ilhabela,-23.78,-45.36,72.36,77,9,4.63,BR,1658856684
421,sampit,-2.53,112.95,72.86,99,88,1.95,ID,1658856684
422,kjollefjord,70.95,27.35,66.02,72,20,3.44,NO,1658856684
423,shache,38.42,77.24,90.01,17,12,8.52,CN,1658856685
424,guanica,17.97,-66.91,91.51,69,1,18.79,PR,1658856685
425,namatanai,-3.67,152.43,79.14,80,100,6.44,PG,1658856686
426,acapulco,16.86,-99.89,87.62,62,20,3.44,MX,1658856686
427,kapit,2.02,112.93,73.35,99,98,1.95,MY,1658856686
428,usinsk,65.99,57.53,51.84,73,91,7.81,RU,1658856687
429,faya,18.39,42.45,69.91,57,100,4.45,SA,1658856687
430,tiznit,29.58,-9.5,95.13,19,0,8.59,MA,1658856688
431,tura,25.52,90.22,73.6,88,81,3.38,IN,1658856688
432,north bend,43.41,-124.22,56.07,94,100,5.75,US,1658856650
433,calabozo,8.92,-67.43,83.5,68,72,7.23,VE,1658856688
434,jalu,29.03,21.55,94.71,15,6,7.2,LY,1658856689
435,karwar,14.8,74.13,78.24,83,100,4.99,IN,1658856689
436,wasilla,61.58,-149.44,55.65,62,0,9.22,US,1658856418
437,batagay,67.63,134.63,62.22,75,16,3.42,RU,1658856689
438,ayia marina,37.75,23.53,90.43,64,0,7.2,GR,1658856690
439,sidney,-33.87,151.21,49.62,72,0,12.66,AU,1658856691
440,novonikolayevskiy,50.97,42.36,65.79,92,100,4.74,RU,1658856692
441,calama,-22.47,-68.93,72.09,7,0,13.8,CL,1658856692
442,novi troyany,45.94,28.86,78.24,37,15,10.47,UA,1658856692
443,desaguadero,-16.57,-69.04,53.94,39,38,11.05,PE,1658856693
444,turan,16.07,108.22,82.38,78,20,1.14,VN,1658856686
445,asau,46.43,26.4,83.32,50,2,0.4,RO,1658856693
446,sechura,-5.56,-80.82,72.48,63,95,10.13,PE,1658856693
447,lorengau,-2.02,147.27,81.7,79,100,9.64,PG,1658856694
448,raudeberg,61.99,5.14,50.67,81,100,20.71,NO,1658856694
449,kilrush,52.64,-9.48,60.55,65,45,8.19,IE,1658856695
450,talnakh,69.49,88.4,56.21,89,56,5.73,RU,1658856695
451,turukhansk,65.82,87.98,52.48,84,18,1.23,RU,1658856696
452,bourail,-21.57,165.48,63.81,84,0,4.38,NC,1658856696
453,labuhan,-6.88,112.21,74.79,84,87,6.51,ID,1658856696
454,jawhar,2.78,45.5,74.48,81,19,16.24,SO,1658856697
455,san lorenzo,-25.33,-57.53,90.59,33,0,14.0,PY,1658856697
456,marrakesh,31.63,-8.01,109.47,14,20,8.05,MA,1658856697
457,kloulklubed,7.04,134.26,73.9,71,99,5.35,PW,1658856698
458,kiruna,67.86,20.23,59.92,94,100,0.0,SE,1658856698
459,llanes,43.42,-4.75,66.97,74,63,3.11,ES,1658856698
460,mitu,1.2,-70.17,83.7,66,74,3.31,CO,1658856699
461,anito,12.45,125.29,77.88,89,86,4.61,PH,1658856699
462,lady frere,-31.7,27.23,55.18,49,33,5.48,ZA,1658856699
463,nikolayevsk-na-amure,53.14,140.73,56.93,96,100,3.06,RU,1658856700
464,ulaangom,49.98,92.07,59.0,47,74,2.59,MN,1658856700
465,lanzhou,36.06,103.79,65.35,76,78,16.02,CN,1658856579
466,manicore,-5.81,-61.3,94.95,41,0,4.61,BR,1658856701
467,baudh,20.84,84.32,78.37,92,63,5.26,IN,1658856701
468,yangjiang,21.85,111.97,81.39,82,5,3.83,CN,1658856667
469,keita,14.76,5.77,95.25,37,87,10.11,NE,1658856702
470,port-cartier,50.03,-66.87,69.75,51,83,11.65,CA,1658856702
471,oum hadjer,13.3,19.7,88.41,51,97,16.28,TD,1658856702
472,tokmak,47.25,35.71,66.47,68,94,6.8,UA,1658856703
473,sotnikovskoye,45.0,43.78,74.59,62,80,1.52,RU,1658856703
474,steinbach,50.17,8.57,79.0,36,0,9.22,DE,1658856704
475,rio grande,-32.03,-52.1,69.91,84,77,9.48,BR,1658856704
476,halifax,44.65,-63.57,82.69,70,40,14.97,CA,1658856464
477,olkhovatka,50.28,39.29,65.48,91,95,2.64,RU,1658856705
478,hohhot,40.81,111.65,64.69,88,0,2.24,CN,1658856705
479,shieli,44.17,66.75,83.08,33,0,10.0,KZ,1658856706
480,sabang,5.89,95.32,81.3,76,100,8.88,ID,1658856706
481,henties bay,-22.12,14.28,55.11,86,9,8.59,NA,1658856707
482,rio de janeiro,-22.9,-43.21,80.55,77,20,14.97,BR,1658856593
483,poum,-20.23,164.02,73.06,73,61,10.36,NC,1658856707
484,dawlatabad,36.41,64.91,92.35,15,0,5.68,AF,1658856707
485,solnechnyy,50.72,136.63,59.18,96,60,3.67,RU,1658856708
486,moron,-34.65,-58.62,73.8,85,100,4.9,AR,1658856708
487,darnah,32.77,22.64,80.11,76,0,16.2,LY,1658856709
488,foam lake,51.65,-103.53,60.82,47,69,17.54,CA,1658856709
489,nuevo progreso,23.17,-97.95,94.53,49,41,5.01,MX,1658856709
490,mecca,21.43,39.83,95.18,34,36,2.91,SA,1658856625
491,ngorongoro,-3.24,35.49,51.78,58,31,4.09,TZ,1658856710
492,sao felix do xingu,-6.64,-52.0,96.12,26,74,5.55,BR,1658856710
493,hobyo,5.35,48.53,76.33,83,37,25.95,SO,1658856710
494,newcastle,-32.93,151.78,51.71,72,26,17.27,AU,1658856522
495,port-gentil,-0.72,8.78,76.96,78,75,11.5,GA,1658856711
496,alakurtti,66.97,30.35,63.88,92,100,6.13,RU,1658856711
497,breves,-1.68,-50.48,88.88,53,96,5.46,BR,1658856712
498,canton,23.12,113.25,87.87,60,18,9.17,CN,1658856445
499,saint-joseph,-21.37,55.62,66.58,80,41,6.8,RE,1658856712
500,vanimo,-2.67,141.3,76.98,90,83,5.32,PG,1658856713
501,irituia,-1.77,-47.44,89.92,48,87,3.85,BR,1658856713
502,soria,41.67,-2.67,78.12,46,3,7.07,ES,1658856713
503,namibe,-15.2,12.15,64.27,77,26,5.82,AO,1658856714
504,zarautz,43.28,-2.17,74.75,65,7,6.31,ES,1658856715
505,ketchikan,55.34,-131.65,66.67,77,0,14.97,US,1658856715
506,ostrovskoye,57.81,42.24,67.14,83,52,5.35,RU,1658856715
507,agadez,19.75,10.25,94.06,11,6,8.97,NE,1658856716
508,doha,25.29,51.53,100.71,68,92,6.91,QA,1658856716
509,araguaina,-7.19,-48.21,96.78,21,78,7.02,BR,1658856717
510,monrovia,6.3,-10.8,82.17,77,97,7.29,LR,1658856649
511,suleja,9.18,7.18,75.63,86,87,2.73,NG,1658856718
512,roma,43.21,-75.46,75.69,60,100,11.5,US,1658856668
513,miri,4.41,114.01,78.94,94,40,2.3,MY,1658856718
514,buala,-8.14,159.59,78.57,85,50,5.86,SB,1658856718
515,apt,43.88,5.4,86.76,27,0,18.61,FR,1658856719
516,livani,56.35,26.18,67.73,80,94,4.88,LV,1658856719
517,eshowe,-28.89,31.47,49.91,87,0,5.21,ZA,1658856720
518,kodinsk,58.69,99.18,57.18,96,100,11.48,RU,1658856720
519,tambopata,-12.73,-69.18,85.89,62,75,3.44,PE,1658856721
520,cabedelo,-6.98,-34.83,83.07,75,73,13.94,BR,1658856721
521,naklo nad notecia,53.14,17.6,73.44,64,90,9.8,PL,1658856721
522,inhambane,-23.86,35.38,64.38,72,0,0.0,MZ,1658856722
523,manono,-7.3,27.42,80.74,30,16,5.19,CD,1658856722
524,kaminoyama,38.15,140.27,75.9,97,38,0.76,JP,1658856723
525,maitum,6.04,124.5,78.33,83,95,4.88,PH,1658856723
526,mayumba,-3.43,10.66,71.22,84,83,6.26,GA,1658856723
527,wewak,-3.55,143.63,79.03,87,99,11.5,PG,1658856724
528,san cayetano,7.88,-72.62,81.48,83,75,4.61,CO,1658856724
529,narasannapeta,18.42,84.05,81.28,84,30,4.34,IN,1658856725
530,hailar,49.2,119.7,65.25,85,99,10.63,CN,1658856725
531,krasnyy chikoy,50.36,108.75,53.69,90,100,5.06,RU,1658856725
532,beloha,-25.17,45.05,61.92,71,2,4.23,MG,1658856726
533,kijang,35.24,129.21,76.73,88,0,7.29,KR,1658856726
534,vardo,70.37,31.11,55.99,94,100,9.53,NO,1658856727
535,lawrenceburg,38.04,-84.9,75.99,93,100,6.91,US,1658856291
536,wajima,37.4,136.9,75.7,90,1,4.16,JP,1658856727
537,luchegorsk,46.48,134.26,65.55,94,0,1.39,RU,1658856728
538,kon tum,14.35,108.0,69.96,97,88,1.83,VN,1658856728
539,shiraz,29.6,52.54,89.04,11,75,0.0,IR,1658856729
540,san vicente,-26.62,-54.13,81.91,34,1,2.8,AR,1658856729
541,santa fe,-31.63,-60.7,87.03,52,87,7.52,AR,1658856516
542,lahaina,20.88,-156.68,78.8,87,64,7.58,US,1658856730
543,karacabey,40.22,28.4,80.98,53,0,7.61,TR,1658856730
544,qingquan,30.45,115.26,82.31,81,22,3.69,CN,1658856730
545,jijiga,9.35,42.8,68.23,49,52,16.98,ET,1658856731
546,haines junction,60.75,-137.51,64.35,55,85,13.8,CA,1658856731
547,inta,66.03,60.17,52.57,74,100,13.76,RU,1658856731
548,suez,29.97,32.53,84.4,33,0,14.27,EG,1658856732
549,scarborough,54.28,-0.4,62.33,70,66,1.99,GB,1658856653
550,wanaka,-44.7,169.15,40.1,96,100,1.01,NZ,1658856442
551,mandalgovi,45.76,106.27,56.16,73,34,10.31,MN,1658856732
552,rawson,-43.3,-65.1,46.38,96,100,7.27,AR,1658856698
553,yeppoon,-23.13,150.73,55.18,79,0,9.19,AU,1658856733
554,jardim,-21.48,-56.14,94.64,18,0,6.58,BR,1658856733
555,katobu,-4.94,122.53,73.11,90,90,4.65,ID,1658856734
556,rosarito,32.33,-117.03,81.41,70,48,7.25,MX,1658856734
557,bouafle,6.99,-5.74,77.72,71,100,0.04,CI,1658856735
558,el rosario,24.26,-107.18,89.91,57,100,6.98,MX,1658856735
559,luyang,27.62,110.1,77.58,76,52,3.65,CN,1658856735
560,misratah,32.38,15.09,84.11,61,0,9.48,LY,1658856736
561,pundaguitan,6.37,126.17,81.36,76,95,3.58,PH,1658856736
